user_id,isbn,rating,book_title,book_author,year_of_publication
42914,0425152251,0,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996.0
156150,0060938455,0,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002.0
22547,0445209798,0,Rimrunners,C. J. Cherryh,1990.0
194706,0890876789,5,Inspiration Sandwich: Stories to Inspire Our Creative Freedom,Sark,1992.0
90614,0688119077,0,Is This Your Child,Doris Rapp,1992.0
216012,0373484836,6,Cordina'S Royal Family,Nora Roberts,2002.0
259660,8403595425,5,Pasiones: Amores y desamores que han cambiado la Historia,Rosa Montero,1999.0
261611,0517556278,7,Mammoth Hunters (Earth's Children),Jean M. Auel,1990.0
243531,0060977493,10,The God of Small Things,Arundhati Roy,1998.0
34725,1586609203,0,The Birthday Wish,Joyce Livingston,2004.0
206534,0064400964,8,Betsy-Tacy (Betsy-Tacy),Maud Hart Lovelace,2000.0
272573,0385504209,0,The Da Vinci Code,Dan Brown,2003.0
231210,0373870701,0,Groom To Come Home To (Love Inspired (Numbered)),Irene Brand,1999.0
247423,0345438329,0,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001.0
86641,0441272428,0,The Galactic Silver Star (Jefferson's War I),Kevin Randle,1990.0
178522,0316171964,0,Tainted Evidence: A Novel,Robert Daley,1993.0
251706,0749395443,0,The Island of Day Before - Ome,Umberto Eco,1996.0
182117,0316693235,10,Violets Are Blue,James Patterson,2001.0
251422,0671517643,0,LITTLE WOMEN,Louisa May Alcott,1994.0
35859,044922323X,0,First Ladies,Margaret Truman,1996.0
98391,0451459016,9,The Devil and Deep Space (Roc Science Fiction),Susan R. Matthews,2002.0
240267,0440170796,0,The Promise,Danielle Steel,1978.0
78834,0866118721,0,Dracula (Dracula),Bram Stoker,1989.0
263674,0895295202,0,Sharks Don't Get Cancer,I. William Lane,1992.0
185011,0446600415,7,The Day After Tomorrow,Allan Folsom,1995.0
244915,0451137965,8,Thinner,Stephen King,1985.0
216476,1573225614,0,Daughters of the Fifth Sun: A Collection of Latina Fiction and Poetry,Bryce Milligan,1996.0
188877,0553252348,0,Dont Fall Off the Mountain,Shirley MacLaine,1985.0
266721,0515110973,9,Honest Illusions,Nora Roberts,1995.0
154137,0590306731,10,Searching for David's Heart: A Christmas Story,Cherie Bennett,1998.0
226545,0515122858,0,Glass Beach,Jill Marie Landis,1998.0
95932,0425173453,7,Named of the Dragon,Susanna Kearsley,1999.0
179744,0451523539,0,Connecticut Yankee in King Arthur's Court,Mark Twain,1963.0
153662,0609804138,0,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999.0
273470,0312995423,0,Digital Fortress : A Thriller,Dan Brown,2003.0
6330,0786886463,4,A Density of Souls,Christopher Rice,2001.0
104454,0394736656,9,Herland,Charlotte Perkins Gilman,1979.0
276652,0316769487,0,The Catcher in the Rye,J.D. Salinger,1991.0
198711,0376022027,0,Good Cook's Handbook/a Ready Reference & Time-Saver,Sunset Editors,1986.0
129358,037328621X,0,"Lawless (Harlequin Historical, No 21)",Nora Roberts,1989.0
186899,0590433881,0,"Kristy's Great Idea (Baby-Sitters Club, 1)",Ann M. Martin,1989.0
129716,1580172407,0,"Healing Tonics: 101 Concoctions to Increase Energy, Boost Immunity, Enhance Memory, Ease Dgestion, and Support Daily Health and Wellness",Jeanine Pollak,2000.0
172030,0671876422,0,Oath of Swords,David Weber,1995.0
57697,0520057392,9,Space-Perception and the Philosophy of Science,Patrick A. Heelan,1988.0
198692,156352001X,0,When All the World Was Young,Ferrol Sams,1991.0
124597,0688121896,7,Beggars in Spain (Beggars Trilogy (Hardcover)),Nancy Kress,1993.0
66423,3442136644,0,Endlich Nichtraucher.,Allen Carr,1992.0
208566,0451170989,6,Bad Desire,Gary Devon,1991.0
127233,0060926317,0,Mutant Message Down Under,Marlo Morgan,1995.0
171904,8425337690,8,El Secreto de La Diosa,Lorenzo Mediano,2003.0
55142,044100962X,0,Myth-Ion Improbable (Myth Books),Robert Asprin,2002.0
173481,0688109756,0,The Kissimmee Kid,Vera Cleaver,1991.0
177374,0373243286,0,"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000.0
127429,0064472698,0,"The Chronicles of Chrestomanci, Volume 2: The Magicians of Caprona / Witch Week",Diana Wynne Jones,2001.0
122793,0553272535,0,Night,Elie Wiesel,1982.0
161677,0312194722,5,Popcorn : A Novel,Ben Elton,1998.0
39467,8420618187,6,"Principe, El",Nicolas Maquiavelo,1994.0
192245,0446611212,8,Violets Are Blue,James Patterson,2002.0
106225,0684833395,0,Catch 22,Joseph Heller,1996.0
62881,0821726846,0,"Final Rain (The Survivalist, No 19)",Jerry Ahern,1989.0
113519,0440226430,0,Summer Sisters,Judy Blume,1999.0
178666,0553583468,0,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002.0
234077,0963258419,10,Money Cometh!: To the Body of Christ,Leroy Thompson,1996.0
69971,0380872218,0,"Mercenary (Bio of a Space Tyrant, Vol 2)",Piers Anthony,1984.0
21576,0060391448,6,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995.0
199431,0812531019,0,Race Against Time,Piers Anthony,1985.0
107784,055329945X,0,The Beloved Scoundrel,IRIS JOHANSEN,1994.0
13552,068480302X,9,Exorcising Your Ex : How to Get Rid of the Demons of Relationships Past,Elizabeth Kuster,1996.0
73394,0883017792,0,The Beatles,Academic Industry,1994.0
14232,2070513289,0,Le Petit Prince (The Little Prince) in French,Antoine De Saint-Exupery,1997.0
73394,0061097314,0,The Bean Trees,Barbara Kingsolver,1998.0
51450,0062517317,0,Friendship Cake: A Novel,Lynne Hinton,2002.0
263560,0425167313,0,Here on Earth,Alice Hoffman,1998.0
69658,0375401598,0,Pandora : New Tales of the Vampires,ANNE RICE,1998.0
161039,0385199570,10,The Stand (The Complete and Uncut Edition),Stephen King,1990.0
111019,0312855028,1,Burning Bright,Melissa Scott,1993.0
95359,0375727345,7,House of Sand and Fog,Andre Dubus III,2000.0
246838,0452281725,9,The Quilter's Apprentice,Jennifer Chiaverini,2000.0
101876,0345377842,7,With Friends Like These... (An Amanada Pepper Mystery),Gillian Roberts,1994.0
146649,8440674104,9,Calvin y Hobbes 4,Watterson,1999.0
11676,0156027380,0,This Cold Country (Harvest Book),Annabel Davis-Goff,2003.0
152186,0060809590,0,In Country,Bobbie Ann Mason,1989.0
160735,0440224055,0,Silent Honor,Danielle Steel,1997.0
232131,0451202341,0,Back Roads,Tawni O'Dell,2001.0
32964,0735609993,8,MCSE Training Kit -- Microsoft(r) Windows(r) 2000 Active Directory(tm) Services,Microsoft Corporation,2000.0
246247,0060951192,6,Cathedrals of the Spirit: The Messages of Sacred Places,T. C. McLuhan,1996.0
212965,0821756176,0,Night and Day,Marilyn Jordan,1996.0
138844,0590481134,0,Skeletons Don't Play Tubas (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1994.0
25695,0373650574,0,Montana Maverick's: Nighthawk's Child,Charles Hampden-Turner,2001.0
124867,0449209695,0,Murder in the Supreme Court (Capital Crime Mysteries),Margaret Truman,1992.0
171602,0451190491,0,The Two Dead Girls (Green Mile Series),Stephen King,1996.0
270658,0099771519,9,Memoirs of a Geisha Uk,Arthur Golden,1994.0
86243,075299977X,0,"QUEST OF JULIAN DAY,THE",DENNIS WHEATLEY,1998.0
95932,0316289817,6,"The Little, Brown handbook",H. Ramsey Fowler,1983.0
164335,086547642X,5,"Positively 4th Street: The Lives and Times of Joan Baez, Bob Dylan, Mimi Baez Farina and Richard Farina",David Hajdu,2002.0
107921,0804118914,7,Monstrum,Donald James,1999.0
42750,014013140X,7,Ki Te Ao: New Stories,Apirana Taylor,1991.0
16795,0380899531,0,Love Only Once (Malory Novels (Paperback)),Johanna Lindsey,1985.0
4131,014027944X,0,Armadillo,William Boyd,1994.0
156150,0385272170,0,"The Semi-Attached Couple; [&, the Semi-Detached House] (Virago Modern Classics)",Emily Eden,1982.0
263592,0888300506,6,"Nunaga: my land, my country",Duncan Pryde,1971.0
176667,0553575023,0,Charming the Prince,TERESA MEDEIROS,1999.0
110214,0449134369,0,Heiress,Janet Dailey,1992.0
216557,0916397300,10,Beyond Definition: New Writing from Gay and Lesbian San Francisco,Marci Blackman,1994.0
195694,0451200284,0,Scavenger,Tom Savage,2000.0
94719,0679448594,8,Primary Colors: A Novel of Politics,Anonymous,1996.0
124487,0553582917,0,Intensity,DEAN KOONTZ,2000.0
11676,0446672351,10,Reservation Blues,Sherman Alexie,1996.0
228913,0874775264,0,Memories and Visions of Paradise: Exploring the Universal Myth of a Lost Golden Age,Richard Heinberg,1990.0
173679,0553268449,9,JITTERBUG PERFUME,TOM ROBBINS,1985.0
269157,0553204564,0,All Things Bright and Beautiful,James Herriot,1981.0
156706,0553210092,10,The Scarlet Letter,NATHANIEL HAWTHORNE,1965.0
264317,0836236602,0,"Sherman's Lagoon : Ate That, What's Next?",Jim Toomey,1997.0
141901,0330480596,0,Made in Yugoslavia,Vladimir Jokanovic,2000.0
60098,037376510X,10,Sleeping With Beauty,Laura Wright,2003.0
94347,0316926078,8,Decline and Fall,Evelyn Waugh,1999.0
217958,0446527033,9,The Switch,Sandra Brown,2000.0
52011,0553207083,5,Zen and the Art of Motorcycle Maintenance,Robert M Pirsig,1982.0
164828,1551669552,0,Along Came Trouble,Sherryl Woods,2002.0
244955,0789716615,0,Special Edition Using Office 97 With Windows 98 (Special Edition Using...),Ed Bott,1998.0
269890,0440237262,6,The Program,Stephen White,2002.0
123501,0345335872,7,Collected Stories,Tennessee Williams,1986.0
9449,0590449389,7,Miriam's Well,Lois Ruby,1995.0
212125,0679833722,0,Dogs Don't Tell Jokes,LOUIS SACHAR,1992.0
168816,0060012889,0,Sheltering Rain,Jojo Moyes,2002.0
136473,078600083X,0,Killer Clown: The John Wayne Gacy Murders,Terry Sullivan,1991.0
60244,0060930535,0,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999.0
60168,0373451695,8,"Rocky Road (Men Made in America, Maine, No 19)",Anne Stuart,1994.0
114813,0671027360,0,Angels & Demons,Dan Brown,2001.0
16106,0373272650,0,What A Man's Gotta Do,Karen Templeton,2003.0
170771,0140867805,0,The Best of Friends,Joanna Trollope,1998.0
54165,0743442245,9,The Road to Perdition,Max Allan Collins,2002.0
170545,0380718200,0,Siro,David Ignatius,1993.0
166123,0786927062,0,"Dragons of a Lost Star (The War of Souls, Volume II)",Margaret Weis,2002.0
225595,0553104845,10,Distraction: A Novel,Bruce Sterling,1998.0
45298,0451186362,0,Rose Madder,Stephen King,2004.0
264317,0156012197,10,The Little Prince,Antoine de Saint-ExupÃ©ry,2000.0
126487,0061092177,6,Small Gods (Discworld Novels (Paperback)),Terry Pratchett,1994.0
259388,042511774X,0,Breathing Lessons,Anne Tyler,1994.0
156837,0425147363,0,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995.0
159230,0891413839,0,Armor Attacks : The Tank Platoon: An Interactive Exercise in Small-Unit Tactics and Leadership,JOHN ANTAL,1991.0
98391,0380978032,8,The Assassins of Tamurin,S. D. Tower,2002.0
35654,3895082570,8,Kidnapped (Konemann Classics),Robert Louis Stevenson,1996.0
60244,0740704818,0,The Blue Day Book,Bradley Trevor Greive,2000.0
76352,0451175190,0,Reversible Error,Robert K. Tanenbaum,1994.0
31050,0553110942,0,Carnal Innocence,Nora Roberts,2000.0
245963,0425103315,0,The Tangent Objective,Lawrence Sanders,1995.0
140080,3499117940,10,Wenn sÃ?Â¼Ã?Â? das Mondlicht auf den HÃ?Â¼geln schlÃ?Â¤ft.,Eric Malpass,1975.0
172030,0380754843,8,Wayside School is Falling Down,Louis Sachar,1990.0
144978,0446671002,9,The Celestine Prophecy,James Redfield,1995.0
208429,0312001908,5,Smart Moves: A Toby Peters Mystery (Thomas Dunne Book),Stuart M. Kaminsky,1987.0
166391,0316693200,0,2nd Chance,James Patterson,2002.0
785,0743237188,5,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,2002.0
122429,1859677347,0,The New Guide to Spirits and Liqueurs,Stuart Walton,1998.0
134596,0671017063,0,The Cases That Haunt Us,John Douglas,2001.0
89207,3499158477,9,Konfetti,Roald Dahl,1994.0
216444,0553233890,9,Pilgrim at Tinker Creek,Annie Dillard,1982.0
257714,1570612471,6,The Food Lover's Guide to Seattle,Katy Calcott,2001.0
197775,0060085894,0,Frida : A Biography of Frida Kahlo,Hayden Herrera,2002.0
55027,0425184226,0,The Sum of All Fears,Tom Clancy,2002.0
7637,0441555209,0,Myth Conceptions,Robert Asprin,1985.0
129563,0375802940,0,"Junie B., First Grader: Boss of Lunch (Junie B Jones)",BARBARA PARK,2003.0
130792,3442444365,0,Das Haus der Schwestern.,Charlotte Link,1999.0
250510,0440158060,0,The Moon's a Balloon,David Niven,1983.0
135149,0394800796,10,How the Grinch Stole Christmas!,Dr. Seuss,1957.0
248289,0671746324,5,HERBS FOR COMMON AILMENTS,Anne McIntyre,1992.0
135149,082175310X,0,The Shattered Rose,Jo Beverley,1996.0
170574,0142001740,8,The Secret Life of Bees,Sue Monk Kidd,2003.0
8971,3257700474,0,Brief an den Vater.,Franz Kafka,2000.0
9747,0312195516,0,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0
224430,0316155101,0,Coma: A Novel,Robin Cook,1977.0
144910,0446322180,0,Name of the Rose-Nla,Umberto Eco,1984.0
117210,0441007813,10,Obsidian Butterfly,Laurell K. Hamilton,2000.0
53456,0140094385,0,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,1986.0
201768,0449006220,0,The Procedure,PETER CLEMENT,2001.0
127200,0451156609,0,The Tommyknockers,Stephen King,1994.0
221655,0679744398,8,"All the Pretty Horses (The Border Trilogy, Vol 1)",CORMAC MCCARTHY,1993.0
16634,0425180964,0,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001.0
73870,0451210158,7,Dirty Work (Stone Barrington Novels (Paperback)),Stuart Woods,2003.0
162001,0312195516,8,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0
65145,0440220602,0,The Chamber,John Grisham,1995.0
255056,039513692X,9,Western Birds (Peterson Field Guides (Paperback)),Roger Tory Peterson,1973.0
43160,3492236014,0,Die letzten GÃ?Â¤ste der Saison. Roman.,Sue Gee,2002.0
36606,0395589681,0,Closing Arguments,Frederick Busch,1991.0
268330,0743412028,0,Pay It Forward,Catherine Ryan Hyde,2000.0
228998,0399138226,0,Chains of Command,Dale Brown,1993.0
92547,0553803220,10,Babylon Rising,TIM LAHAYE,2003.0
189334,0553573616,0,My Point...And I Do Have One,ELLEN DEGENERES,1996.0
94347,0385327269,0,Akiko in the Sprubly Islands (Akiko),MARK CRILLEY,2000.0
49889,0373260520,0,Children'S Game,Janet Lapierre,1990.0
172512,0515124893,0,Homeport,Nora Roberts,1999.0
154859,0142001740,9,The Secret Life of Bees,Sue Monk Kidd,2003.0
221796,0373708661,0,"Message For Abby (Patton'S Daughter) (Harlequin Superromance, No. 866)",Claire M. Johnson,1999.0
198711,0307487245,0,The Magic of Microwave Cookbook,Joanne Crocker,1976.0
40612,0553576178,0,The Mermaid,Betina M. Krahn,1997.0
128835,042516098X,0,Hornet's Nest,Patricia Daniels Cornwell,1998.0
230522,0060165979,0,Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,Thomas Moore,1992.0
225199,2070392724,8,SouverainetÃ?Â© du vide. Lettres d'or,Christian Bobin,1995.0
106988,0312204787,9,The Skull Mantra,Eliot Pattison,1999.0
252820,0345321200,7,Diet for a Small Planet (20th Anniversary Edition),Frances Moore Lappe,1992.0
98297,0330317822,0,The Summer House,Alison McLeay,1998.0
38556,0061000280,6,The Fly on the Wall,Tony Hillerman,1990.0
19664,0140265716,0,Memoirs of an Ex-Prom Queen,Alix Kates Shulman,1997.0
243360,0060938455,9,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002.0
263877,0553246984,0,The Third Wave,Alvin Toffler,1989.0
102967,0553240633,0,Right Stuff,Tom Wolfe,1983.0
105240,8466300651,7,"El Evangelio Segun Jesucristo (Punto De Lectura, 8/3)",Jose Saramago,2001.0
69808,2908957515,0,Un thÃ?Â© bien fort et trois tasses,Lygia Fagundes Telles,1995.0
236757,0385335512,7,The Midwife's Tale,Gretchen Moran Laskas,2003.0
207148,0373441835,0,"Hung Up On You (Harlequin Flipside, No. 9)",Holly Jacobs,2004.0
115841,067164257X,0,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987.0
70082,0441005926,0,Illegal Alien,Robert J. Sawyer,1999.0
408,0345297709,0,Centaur Aisle,Piers Anthony,1982.0
107645,8477273855,8,El Tema del Tema,Quim Monzo,2003.0
63714,085111198X,10,Testing Darwinism: An Easy-to-understand Guide,Phillip E. Johnson,1994.0
225763,0590487922,0,Zlata's Diary: A Child's Life in Sarajevo,Zlata Filipovic,1994.0
160819,0812553861,0,Sofia,Ann Chamberlin,1998.0
222150,3596116929,0,Du fÃ?Â¼hlst die Wunder nur in dir.,Else MÃ?Â¼ller,1993.0
204864,0375412824,0,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0
178130,0883680904,0,In His Steps,Charles Sheldon,1980.0
230522,0520063961,0,AIDS: The Burdens of History,Elizabeth Fee,1988.0
188349,0345445848,5,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002.0
238961,0671626477,0,"The Crowning Terror (Hardy Boys Casefiles, No 6)",Franklin W. Dixon,1987.0
234623,0380000806,0,Wives and Lovers,Margaret Millar,1974.0
210912,0300056702,7,"The Faces of Injustice (Storrs Lectures on Jurisprudence, 1988)",Judith N. Shklar,1992.0
205487,0877017743,0,Sumo Bizarro,Dan Piraro,1990.0
87141,0821719408,0,Macau,Daniel Carney,1986.0
61038,0451203089,5,Sitka,Louis L'Amour,2001.0
172742,0895351382,0,"Beef, Veal, Lamb and Pork (Cooking with Bon Appetit)",Pr Knapp,1985.0
201290,0812521501,0,"People of the Fire (The First North Americans series, Book 2)",Kathleen O'Neal Gear,1991.0
145682,0971880107,0,Wild Animus,Rich Shapero,2004.0
95359,0446303011,9,A Few Minutes with Andy Rooney,Andrew A Rooney,1982.0
95915,0330273531,7,Blabber mouth,Morris Gleitzman,1992.0
35486,3518366823,0,Siddhartha,Hermann Hesse,1994.0
56447,0394885236,0,The Little Puppy's Bad Day,Cathy West,1987.0
4017,068484267X,10,Angela's Ashes: A Memoir,Frank McCourt,1999.0
224138,0399151605,0,Divining Women,Kaye Gibbons,2004.0
137742,0373243790,10,Considering Kate (The Stanislaskis) (Silhouette Special Edition),Nora Roberts,2001.0
234623,0688146783,0,Who's Whose?,Jan Ormerod,1998.0
181223,0446354732,0,Nothing Lasts Forever,Sidney Sheldon,1995.0
207942,1558505822,8,The Verbally Abusive Relationship: How to Recognize it and How to Respond,Patricia Evans,1996.0
36299,0553573705,0,Almost Innocent,Jane Feather,2001.0
178890,8408002511,8,LA Pasion Turca,Antonio Gala,1995.0
180957,0385720955,0,The Blind Assassin,Margaret Atwood,2001.0
12202,0064403688,6,Jacob Have I Loved,Katherine Paterson,1990.0
88729,0439208939,0,What a Friend!: Friendship Tips from 2 Grrrls (2 Grrrls),Kristen Kemp,2000.0
248718,0312929420,7,The Last Innocent Hour,Margot Abbott,1993.0
233085,0440131480,8,Breakfast of Champions,Kurt Vonnegut,1991.0
157273,1575662892,0,Lady of the Glen: A Novel of 17Th-Century Scotland and the Massacre of Glencoe,Jennifer Roberson,1998.0
142121,0374413312,0,Comet in Moominland : Can Moomintroll save his beloved valley?,Tove Jansson,1991.0
94952,0394564324,0,Legacy,James A. Michener,1990.0
44893,1582341567,0,"Long Shadows: Truth, Lies and History",Erna Paris,2001.0
89182,0671002910,0,The SIGN OF FEAR: FEAR STREET SAGAS #4 (FEAR STREET SAGA),R.L. Stine,1996.0
110934,038572179X,0,Atonement : A Novel,IAN MCEWAN,2003.0
43246,0156007479,0,Slammerkin,Emma Donoghue,2002.0
103467,034543479X,6,A Widow for One Year,JOHN IRVING,2001.0
96448,0590442597,0,Karen's Roller Skates (Baby-Sitters Little Sister #2),Ann M. Martin,1992.0
123617,0805064222,7,The Good German: A Novel,Joseph Kanon,2001.0
31826,0528833510,10,Traveler's World Atlas and Guide,Not Applicable (Na ),1989.0
7620,0736907386,6,The Remarkable Women of the Bible Growth: And Their Message for Your Life Today,Elizabeth George,2003.0
125774,0515129267,0,Slay Ride,Dick Francis,2000.0
110637,0451206525,8,Dead Sleep,Greg Iles,2002.0
31391,0553142046,0,Dragonsong,Anne Mccaffrey,1994.0
108773,0684826976,0,Undaunted Courage: Meriwether Lewis Thomas Jefferson and the Opening of the American West,Stephen Ambrose,1997.0
15135,0312262167,5,The Other Side of Mulholland,Stephen Randall,2001.0
274882,2290319872,5,Comment je suis devenu stupide,Martin Page,2003.0
167176,068487217X,10,Angelas Ashes: A Memoir,Frank McCourt,1999.0
70864,0805002545,9,Bad Habits: A 100% Fact-Free Book,Dave Barry,1987.0
24539,0743403479,0,The Wise Woman (Stone of Light),Christian Jacq,2000.0
94951,0671020374,8,"Fire on High (Star Trek New Frontier, No 6)",Peter David,1998.0
251422,0451171128,0,Cat on a Hot Tin Roof,Tennessee Williams,1989.0
153662,037371064X,0,"Operation:  Katie  (The Special Agents) (Harlequin Superromance, 1064)",Roxanne Rustand,2002.0
164323,055357924X,0,Kissed a Sad Goodbye (Duncan Kincaid/Gemma James Novels (Paperback)),Deborah Crombie,2001.0
278418,037311687X,0,Wounds Of Passion (Presents Plus) (Harlequin Presents No 1687),Arnette Lamb,1994.0
170184,0563165359,8,Complete Cookery Course,Delia Smith,1988.0
56045,0553582364,0,A Traitor to Memory,Elizabeth George,2002.0
104278,0373292910,0,"Colorado Courtship (Harlequin Historical, No. 691)",Carolyn Davidson,2004.0
113475,0486403459,5,Alice in Wonderland (Dover Children's Thrift Classics),Lewis Carroll,1999.0
246311,0679723692,10,Cathedral (Vintage Contemporaries (Paperback)),Raymond Carver,1989.0
73394,0553576917,0,Whose Little Girl Are You?,Bethany Campbell,2000.0
268030,0156226006,0,"Cosmicomics (Harbrace Paperbound Library, Hpl 69)",Italo Calvino,1976.0
182966,0399146253,0,The Last Precinct,Patricia Daniels Cornwell,2000.0
69697,0061044733,0,Shattered Silk,Barbara Michaels,1999.0
158033,0060928336,0,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997.0
244736,039512722X,0,Transformations,Anne Sexton,1979.0
267788,0307000982,0,Alvin's daydreams (Alvin and the chipmunks),Michael Teitelbaum,1990.0
190925,074341277X,0,Cameo Lake,Susan Wilson,2002.0
75149,0812971043,0,The Dante Club : A Novel,MATTHEW PEARL,2004.0
29821,0380713608,9,A Morning for Flamingos,James L. Burke,1991.0
251422,0440110602,0,"Captain Newman, M.D.",Leo Rosten,1986.0
71477,0553210165,0,Hard Times (Bantam Classics),CHARLES DICKENS,1981.0
